"sp","long","lat"
"Eugenia florida DC.",-41.958,-13.583
"Eugenia florida DC.",-41.769,-13.001
"Eugenia florida DC.",-42.177,-22.818
"Eugenia florida DC.",-42.004,-22.861
"Eugenia florida DC.",-41.662,-21.817
"Eugenia florida DC.",-42.006,-22.312
"Eugenia florida DC.",-42.03,-22.437
"Eugenia florida DC.",-42.287,-22.541
"Eugenia florida DC.",-43.394,-22.578
"Eugenia florida DC.",-42.544,-22.717
"Eugenia florida DC.",-43.71,-22.728
"Eugenia florida DC.",-43.628,-22.941
"Eugenia florida DC.",-43.003,-22.951
"Eugenia florida DC.",-47.896,-24.615
"Eugenia florida DC.",-47.991,-25.169
"Eugenia florida DC.",-48.784,-26.641
"Eugenia florida DC.",-48.688,-27.45
"Eugenia florida DC.",-49.68,-28.8
"Eugenia florida DC.",-49.86,-29.07
"Eugenia florida DC.",-49.673,-29.104
"Eugenia florida DC.",-42.676,-22.477
"Eugenia florida DC.",-42.906,-22.484
"Eugenia florida DC.",-43.092,-22.583
"Eugenia florida DC.",-43.904,-22.702
"Eugenia florida DC.",-43.828,-22.803
"Eugenia florida DC.",-43.448,-22.941
"Eugenia florida DC.",-45.02,-23.369
"Eugenia florida DC.",-46.432,-23.85
"Eugenia florida DC.",-47.921,-24.182
"Eugenia florida DC.",-47.052,-24.249
"Eugenia florida DC.",-47.249,-24.521
"Eugenia florida DC.",-48.616,-24.571
"Eugenia florida DC.",-49.284,-24.89
"Eugenia florida DC.",-48.257,-25.22
"Eugenia florida DC.",-48.303,-25.276
"Eugenia florida DC.",-48.697,-26.194
"Eugenia florida DC.",-49.23,-26.37
"Eugenia florida DC.",-49.77,-26.91
"Eugenia florida DC.",-49.14,-27
"Eugenia florida DC.",-49.41,-27.09
"Eugenia florida DC.",-48.78,-27.18
"Eugenia florida DC.",-49.14,-27.18
"Eugenia florida DC.",-49.77,-27.27
"Eugenia florida DC.",-50.041,-27.27
"Eugenia florida DC.",-49.05,-27.358
"Eugenia florida DC.",-48.78,-27.36
"Eugenia florida DC.",-48.87,-27.63
"Eugenia florida DC.",-48.78,-27.99
"Eugenia florida DC.",-48.959,-28.263
"Eugenia florida DC.",-49.232,-28.353
"Eugenia florida DC.",-42.004,-21.978
"Eugenia florida DC.",-46.973,-23.23
"Eugenia florida DC.",-46.479,-23.396
"Eugenia florida DC.",-49.487,-24.251
"Eugenia florida DC.",-48.683,-24.533
"Eugenia florida DC.",-49.41,-27.27
"Eugenia florida DC.",-44.623,-22.428
"Eugenia florida DC.",-46.52,-23.18
"Eugenia florida DC.",-45.322,-23.327
"Eugenia florida DC.",-43.885,-21.708
"Eugenia florida DC.",-43.89,-21.969
"Eugenia florida DC.",-44.738,-22.135
"Eugenia florida DC.",-44.82,-22.361
"Eugenia florida DC.",-44.82,-22.377
"Eugenia florida DC.",-45.944,-22.723
"Eugenia florida DC.",-41.926,-21.391
"Eugenia florida DC.",-41.264,-21.716
"Eugenia florida DC.",-41.993,-20.769
"Eugenia florida DC.",-42.07,-20.893
"Eugenia florida DC.",-42.429,-21.08
"Eugenia florida DC.",-42.615,-21.245
"Eugenia florida DC.",-43.105,-21.273
"Eugenia florida DC.",-43.252,-21.551
"Eugenia florida DC.",-43.362,-22.124
"Eugenia florida DC.",-44.091,-22.549
"Eugenia florida DC.",-44.657,-22.635
"Eugenia florida DC.",-45.23,-22.772
"Eugenia florida DC.",-43.318,-21.748
"Eugenia florida DC.",-42.33,-22.003
"Eugenia florida DC.",-43.707,-22.333
"Eugenia florida DC.",-44.974,-22.748
"Eugenia florida DC.",-44.59,-22.034
"Eugenia florida DC.",-49.076,-18.349
"Eugenia florida DC.",-49.954,-18.707
"Eugenia florida DC.",-49.425,-18.949
"Eugenia florida DC.",-49.531,-19.957
"Eugenia florida DC.",-47.601,-19.993
"Eugenia florida DC.",-50.434,-20.006
"Eugenia florida DC.",-50.506,-20.35
"Eugenia florida DC.",-48.826,-20.483
"Eugenia florida DC.",-51.246,-20.489
"Eugenia florida DC.",-49.226,-20.543
"Eugenia florida DC.",-49.93,-20.743
"Eugenia florida DC.",-51.663,-20.814
"Eugenia florida DC.",-48.537,-20.886
"Eugenia florida DC.",-49.979,-21.001
"Eugenia florida DC.",-49.327,-21.127
"Eugenia florida DC.",-50.606,-21.133
"Eugenia florida DC.",-48.689,-21.404
"Eugenia florida DC.",-49.684,-21.494
"Eugenia florida DC.",-49.3,-21.523
"Eugenia florida DC.",-47.921,-21.582
"Eugenia florida DC.",-48.538,-21.616
"Eugenia florida DC.",-47.429,-21.851
"Eugenia florida DC.",-49.926,-22.016
"Eugenia florida DC.",-50.946,-22.086
"Eugenia florida DC.",-49.085,-22.234
"Eugenia florida DC.",-47.162,-22.286
"Eugenia florida DC.",-48.524,-22.308
"Eugenia florida DC.",-54.914,-22.376
"Eugenia florida DC.",-49.697,-22.406
"Eugenia florida DC.",-50.376,-22.577
"Eugenia florida DC.",-52.275,-22.597
"Eugenia florida DC.",-53.212,-22.723
"Eugenia florida DC.",-50.675,-22.736
"Eugenia florida DC.",-53.343,-22.739
"Eugenia florida DC.",-47.833,-22.779
"Eugenia florida DC.",-53.327,-22.788
"Eugenia florida DC.",-55.284,-23.058
"Eugenia florida DC.",-54.371,-23.129
"Eugenia florida DC.",-49.759,-23.138
"Eugenia florida DC.",-50.621,-23.194
"Eugenia florida DC.",-51.032,-23.256
"Eugenia florida DC.",-51.826,-23.279
"Eugenia florida DC.",-51.963,-23.5
"Eugenia florida DC.",-53.368,-23.691
"Eugenia florida DC.",-52.751,-23.852
"Eugenia florida DC.",-51.953,-23.916
"Eugenia florida DC.",-49.604,-19.308
"Eugenia florida DC.",-48.035,-19.674
"Eugenia florida DC.",-47.428,-19.886
"Eugenia florida DC.",-47.415,-20.416
"Eugenia florida DC.",-46.948,-20.443
"Eugenia florida DC.",-46.572,-20.517
"Eugenia florida DC.",-47.24,-20.765
"Eugenia florida DC.",-44.916,-20.845
"Eugenia florida DC.",-44.246,-21.102
"Eugenia florida DC.",-45.473,-21.155
"Eugenia florida DC.",-44.904,-21.158
"Eugenia florida DC.",-45.121,-21.193
"Eugenia florida DC.",-47.845,-21.218
"Eugenia florida DC.",-44.789,-21.225
"Eugenia florida DC.",-44.971,-21.229
"Eugenia florida DC.",-48.357,-21.272
"Eugenia florida DC.",-48.519,-21.352
"Eugenia florida DC.",-44.609,-21.353
"Eugenia florida DC.",-46.28,-21.371
"Eugenia florida DC.",-44.892,-21.409
"Eugenia florida DC.",-44.906,-21.485
"Eugenia florida DC.",-44.376,-21.487
"Eugenia florida DC.",-47.842,-21.968
"Eugenia florida DC.",-45.799,-22.108
"Eugenia florida DC.",-45.968,-22.223
"Eugenia florida DC.",-47.831,-22.255
"Eugenia florida DC.",-48.071,-22.305
"Eugenia florida DC.",-46.251,-22.313
"Eugenia florida DC.",-47.477,-22.358
"Eugenia florida DC.",-47.761,-22.414
"Eugenia florida DC.",-55.668,-22.432
"Eugenia florida DC.",-46.643,-22.501
"Eugenia florida DC.",-47.041,-22.607
"Eugenia florida DC.",-46.668,-22.689
"Eugenia florida DC.",-46.839,-22.699
"Eugenia florida DC.",-47.11,-22.822
"Eugenia florida DC.",-48.426,-22.838
"Eugenia florida DC.",-46.704,-22.935
"Eugenia florida DC.",-48.505,-23.266
"Eugenia florida DC.",-48.368,-23.404
"Eugenia florida DC.",-51.254,-23.45
"Eugenia florida DC.",-43.901,-20.979
"Eugenia florida DC.",-43.703,-21.191
"Eugenia florida DC.",-43.929,-21.209
"Eugenia florida DC.",-44.986,-21.331
"Eugenia florida DC.",-44.101,-21.488
"Eugenia florida DC.",-44.945,-21.686
"Eugenia florida DC.",-45.323,-21.934
"Eugenia florida DC.",-46.348,-22.081
"Eugenia florida DC.",-46.556,-21.773
"Eugenia florida DC.",-51.109,-29.677
"Eugenia florida DC.",-52.854,-29.959
"Eugenia florida DC.",-50.83,-30.078
"Eugenia florida DC.",-51.746,-30.175
"Eugenia florida DC.",-51.404,-30.436
"Eugenia florida DC.",-52.29,-30.842
"Eugenia florida DC.",-54.279,-24.091
"Eugenia florida DC.",-53.526,-24.404
"Eugenia florida DC.",-53.533,-25.529
"Eugenia florida DC.",-54.428,-25.627
"Eugenia florida DC.",-53.882,-27.227
"Eugenia florida DC.",-53.347,-27.366
"Eugenia florida DC.",-51.941,-27.493
"Eugenia florida DC.",-54.92,-28.35
"Eugenia florida DC.",-51.125,-30.064
"Eugenia florida DC.",-51.57,-24.616
"Eugenia florida DC.",-52.562,-27.176
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-40.615,-19.921
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-40.729,-20.016
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.174,-20.303
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.74,-20.493
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.482,-20.701
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-40.855,-17.082
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.04,-18.73
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.48,-18.879
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.526,-19.499
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.916,-20.263
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.02,-20.502
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.778,-17.614
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.117,-19.847
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.873,-20.778
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.201,-15.178
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.548,-20.291
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.423,-19.406
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.352,-12.478
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.198,-25.378
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.548,-25.764
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-47.896,-24.615
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.494,-25.275
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.874,-25.51
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.623,-25.936
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.69,-26.01
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.962,-26.28
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.784,-26.641
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.87,-27.001
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.688,-27.45
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.232,-28.619
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.499,-28.711
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.68,-28.8
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.726,-28.956
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.86,-29.07
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.857,-29.369
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-44.781,-23.283
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-47.921,-24.182
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-47.249,-24.521
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.616,-24.571
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.257,-25.22
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.716,-25.603
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.23,-26.37
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.05,-26.73
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.871,-26.82
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.77,-26.91
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.14,-27
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.78,-27.09
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.41,-27.09
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-50.038,-27.092
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.78,-27.18
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.77,-27.27
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.05,-27.358
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.78,-27.36
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.78,-27.54
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.87,-27.63
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.693,-27.718
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.78,-27.99
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.96,-27.994
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.959,-28.263
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.232,-28.353
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.497,-28.529
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.59,-28.62
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.86,-28.8
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.983,-29.365
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.004,-21.978
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.893,-22.001
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.531,-22.305
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.413,-22.551
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.301,-22.952
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.479,-23.396
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.768,-23.468
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.729,-23.566
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-45.753,-23.624
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.888,-23.641
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.625,-23.656
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.491,-23.767
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.971,-23.772
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.683,-24.533
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-50.13,-27
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.14,-27.27
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.41,-27.27
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.41,-27.36
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.05,-27.54
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.23,-27.9
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-48.87,-28.08
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-49.499,-28.26
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.928,-22.044
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-44.623,-22.428
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.158,-22.535
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-45.358,-22.544
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-45.322,-23.327
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.611,-23.41
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.885,-21.708
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.569,-22.441
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.362,-22.124
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.318,-21.748
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-44.59,-22.034
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-44.772,-22.127
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-50.606,-21.133
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-51.826,-23.279
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-53.368,-23.691
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-47.11,-22.822
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-46.704,-22.935
"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-51.254,-23.45
"Ouratea semiserrata (Mart. & Nees) Engl.",-40.027,-16.364
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.482,-20.701
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.431,-19.511
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.865,-19.627
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.618,-19.684
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.823,-19.721
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.484,-19.748
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.708,-19.804
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.929,-20.428
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.02,-20.502
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.778,-17.614
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.529,-17.879
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.466,-18.073
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.083,-18.38
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.755,-18.546
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.552,-19.301
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.117,-19.847
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.363,-19.902
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.386,-20.369
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.616,-20.437
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.372,-20.629
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.873,-20.778
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.105,-15.389
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.578,-15.394
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.221,-16.639
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.191,-17.507
"Ouratea semiserrata (Mart. & Nees) Engl.",-40.73,-14.846
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.201,-15.178
"Ouratea semiserrata (Mart. & Nees) Engl.",-40.52,-15.78
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.301,-15.954
"Ouratea semiserrata (Mart. & Nees) Engl.",-40.844,-16.058
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.064,-16.127
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.235,-16.748
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.703,-17.034
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.671,-19.813
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.669,-20.072
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.477,-20.121
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.548,-20.291
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.724,-20.497
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.501,-20.434
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.533,-19.215
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.512,-20.18
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.531,-18.983
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.972,-19.877
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.242,-19.948
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.309,-12.923
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.798,-13.32
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.267,-13.39
"Ouratea semiserrata (Mart. & Nees) Engl.",-41.963,-13.511
"Ouratea semiserrata (Mart. & Nees) Engl.",-47.249,-24.521
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.973,-23.23
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.479,-23.396
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.729,-23.566
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.52,-23.18
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.885,-21.708
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.89,-21.969
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.738,-22.135
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.82,-22.361
"Ouratea semiserrata (Mart. & Nees) Engl.",-45.901,-22.747
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.82,-22.377
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.882,-21.964
