"","sp","lon","lat"
"480","Aplastodiscus_perviridis",-48.439722,-22.88
"482","Aplastodiscus_perviridis",-47.13,-23.3
"483","Aplastodiscus_perviridis",-51.3175,-26.745556
"484","Aplastodiscus_perviridis",-45.7478,-23.0094
"485","Aplastodiscus_perviridis",-46.144444,-22.755556
"487","Aplastodiscus_perviridis",-49.252778,-26.181389
"488","Aplastodiscus_perviridis",-50.760833,-27.899167
"489","Aplastodiscus_perviridis",-45.59,-22.73
"490","Aplastodiscus_perviridis",-45.53158,-22.699226
"491","Aplastodiscus_perviridis",-45.458441,-22.673752
"492","Aplastodiscus_perviridis",-51.169444,-27.575
"493","Aplastodiscus_perviridis",-52.0558,-25.5722
"494","Aplastodiscus_perviridis",-50.399722,-26.166667
"495","Aplastodiscus_perviridis",-51.6119,-27.3436
"496","Aplastodiscus_perviridis",-52.619389,-27.185667
"497","Aplastodiscus_perviridis",-44.9628,-22.5761
"498","Aplastodiscus_perviridis",-45.0497,-22.5558
"499","Aplastodiscus_perviridis",-50.4031,-23.8492
"500","Aplastodiscus_perviridis",-51.3156,-26.4275
"501","Aplastodiscus_perviridis",-48.53,-24.18
"502","Aplastodiscus_perviridis",-51.458056,-25.395556
"503","Aplastodiscus_perviridis",-52.779722,-27.088889
"505","Aplastodiscus_perviridis",-48.5,-24.4167
"506","Aplastodiscus_perviridis",-52.455,-26.6314
"507","Aplastodiscus_perviridis",-48.61,-23.100278
"508","Aplastodiscus_perviridis",-50.326111,-27.816111
"510","Aplastodiscus_perviridis",-50.316667,-27.8
"511","Aplastodiscus_perviridis",-49.551944,-28.398333
"512","Aplastodiscus_perviridis",-50.686667,-26.8575
"513","Aplastodiscus_perviridis",-51.1628,-23.3103
"514","Aplastodiscus_perviridis",-46.30727419,-22.63132968
"515","Aplastodiscus_perviridis",-50.9494,-24.2083
"516","Aplastodiscus_perviridis",-51.6,-27.333056
"517","Aplastodiscus_perviridis",-51.9906,-26.4842
"518","Aplastodiscus_perviridis",-44.677904,-23.018135
"519","Aplastodiscus_perviridis",-51.939986,-26.773933
"520","Aplastodiscus_perviridis",-47.71,-23.81
"521","Aplastodiscus_perviridis",-45.5225,-22.8708
"522","Aplastodiscus_perviridis",-49.920511,-24.578514
"523","Aplastodiscus_perviridis",-46.561389,-21.788056
"525","Aplastodiscus_perviridis",-50.006119,-25.230468
"526","Aplastodiscus_perviridis",-52.015833,-26.871667
"527","Aplastodiscus_perviridis",-51.9,-26.783
"528","Aplastodiscus_perviridis",-49.950278,-29.196667
