Especies,lat,lon
Ameerega_berohoka,-16.9567,-51.8103
Ameerega_berohoka,-16.4419,-51.1178
Ameerega_berohoka,-17.62820855,-52.76289343
Ameerega_berohoka,-16.427344,-51.822614
Ameerega_braccata,-20.471111,-55.786944
Ameerega_braccata,-19.75323,-55.863286
Ameerega_braccata,-15.072778,-57.180833
Ameerega_braccata,-16.548856,-57.842514
Ameerega_braccata,-15.461389,-55.749722
Ameerega_braccata,-15.460833,-55.749444
Ameerega_braccata,-15.596111,-56.096667
Ameerega_braccata,-15.4,-55.833333
Ameerega_braccata,-15.333333,-55.883333
Ameerega_braccata,-15.45,-58.733333
Ameerega_braccata,-15.934444,-50.140278
Ameerega_braccata,-15.328576,-56.550362
Ameerega_braccata,-16.2,-54.9
Ameerega_braccata,-15.072778,-53.215278
Ameerega_braccata,-15.519199,-57.216398
Ameerega_braccata,-17.243697,-53.06525
Ameerega_flavopicta,-20.863611,-46.388056
Ameerega_flavopicta,-20.861421,-46.375929
Ameerega_flavopicta,-14.183333,-47.783333
Ameerega_flavopicta,-14.083333,-47.516667
Ameerega_flavopicta,-18.45,-48.516667
Ameerega_flavopicta,-8.9667,-46.8667
Ameerega_flavopicta,-19.903253,-43.959973
Ameerega_flavopicta,-17.75,-48.633333
Ameerega_flavopicta,-17.766667,-48.65
Ameerega_flavopicta,-17.768889,-48.660833
Ameerega_flavopicta,-14.041823,-47.644706
Ameerega_flavopicta,-16.353745,-50.711207
Ameerega_flavopicta,-15.306455,-47.246161
Ameerega_flavopicta,-19.513611,-43.744722
Ameerega_flavopicta,-19.441719,-43.718738
Ameerega_flavopicta,-19.183333,-47.116667
Ameerega_flavopicta,-19.169167,-43.714167
Ameerega_flavopicta,-19.416667,-43.533333
Ameerega_flavopicta,-18.45,-45.016667
Ameerega_flavopicta,-18.218786,-45.287556
Ameerega_flavopicta,-5.368611,-49.117778
Ameerega_flavopicta,-17.676944,-46.184444
Ameerega_flavopicta,-13.816667,-48.333333
Ameerega_flavopicta,-18.383333,-45.333333
Ameerega_flavopicta,-18.359796,-45.331397
Ameerega_flavopicta,-6.154597,-50.497529
Ameerega_flavopicta,-15.85,-48.95
Ameerega_flavopicta,-14.159444,-48.335
Ameerega_flavopicta,-14.0406,-48.3467
Ameerega_flavopicta,-19.283333,-43.583333
Ameerega_flavopicta,-19.190106,-43.644168
Ameerega_flavopicta,-12.696837,-47.814357
Ameerega_flavopicta,-20.187691,-46.514721
Ameerega_flavopicta,-20.245556,-46.365556
Ameerega_hahneli,-3.703207278,-65.3298552
Ameerega_hahneli,-3.521944,-59.659722
Ameerega_hahneli,-4.369246,-69.682858
Ameerega_hahneli,-3.526733,-59.820348
Ameerega_hahneli,-3.7,-62.1333
Ameerega_hahneli,-3.483333,-62.533333
Ameerega_hahneli,-3.2631,-62.7575
Ameerega_hahneli,-3.0925,-63.0936
Ameerega_hahneli,-7.975133,-72.768863
Ameerega_hahneli,-7.631111,-72.669722
Ameerega_hahneli,-1.3058,-55.9211
Ameerega_hahneli,-7.022017506,-70.22036622
Ameerega_hahneli,-7.445235775,-57.30414544
Ameerega_hahneli,-0.579694,-52.219681
Ameerega_hahneli,-3.101944,-60.025
Ameerega_hahneli,-2.4833,-64.6167
Ameerega_hahneli,-5.368611,-49.117778
Ameerega_hahneli,-9.162616,-72.214636
Ameerega_hahneli,-9.095838,-72.562131
Ameerega_hahneli,-1.120334,-54.365466
Ameerega_hahneli,-1.120333956,-54.36546562
Ameerega_hahneli,-7.75,-68.9167
Ameerega_hahneli,-8.491342499,-72.73734917
Ameerega_hahneli,-1.5,-59.5
Ameerega_hahneli,-10.06457714,-68.37185214
Ameerega_hahneli,-9.974722,-67.809722
Ameerega_hahneli,-4.70845,-69.617456
Ameerega_hahneli,-10.161492,-67.735601
Ameerega_macero,-8.113789,-73.555955
Ameerega_macero,-9.14156,-72.4405
Ameerega_petersi,-8.113789,-73.555955
Ameerega_petersi,-9.14156,-72.4405
Ameerega_petersi,-8.366667,-72.816667
Ameerega_picta,-17.874,-63.008
Ameerega_picta,-18.72954805,-56.72393992
Ameerega_picta,-14.5892059,-52.40906947
Ameerega_pulchripecta,1.108426,-52.254077
Ameerega_trivittata,-3.342839,-52.077284
Ameerega_trivittata,-3.45,-51.65
Ameerega_trivittata,-3.45,-51.666667
Ameerega_trivittata,-3.771418,-56.493568
Ameerega_trivittata,-1.498674,-48.633927
Ameerega_trivittata,-1.240215,-48.459264
Ameerega_trivittata,-5.419285,-70.274347
Ameerega_trivittata,-4.983333,-65.5
Ameerega_trivittata,-4.437789159,-64.12514624
Ameerega_trivittata,-4.437423,-64.124616
Ameerega_trivittata,-7.631111,-72.669722
Ameerega_trivittata,-1.85,-55.51
Ameerega_trivittata,-0.176534,-55.674068
Ameerega_trivittata,-0.95,-55.516667
Ameerega_trivittata,-7.004729,-43.079184
Ameerega_trivittata,-7.066667,-62.883333
Ameerega_trivittata,-4.466667,-56.283333
Ameerega_trivittata,-4.666667,-56.533333
Ameerega_trivittata,-4.380311,-56.769225
Ameerega_trivittata,-2.622299,-56.219862
Ameerega_trivittata,-2.609444,-56.152778
Ameerega_trivittata,-2.469444,-56.000833
Ameerega_trivittata,-5.639167,-69.182778
Ameerega_trivittata,-5.219444,-69.316667
Ameerega_trivittata,-3.101944,-60.025
Ameerega_trivittata,-3.10194,-60.025
Ameerega_trivittata,-7.483333333,-73.68333333
Ameerega_trivittata,-7.431666667,-73.66111111
Ameerega_trivittata,-7.362777778,-73.68277778
Ameerega_trivittata,-7.466666667,-73.68333333
Ameerega_trivittata,-7.458888889,-73.77444444
Ameerega_trivittata,-2.433527,-65.033411
Ameerega_trivittata,-8.9839,-72.7167
Ameerega_trivittata,-4.6911,-58.043256
Ameerega_trivittata,-1.119981,-54.364994
Ameerega_trivittata,-4.371111,-49.524444
Ameerega_trivittata,-1.137827,-56.691864
Ameerega_trivittata,0.991047,-56.819658
Ameerega_trivittata,-3.204055,-47.601185
Ameerega_trivittata,-1.95407,-51.672103
Ameerega_trivittata,-9.540918,-64.974361
Ameerega_trivittata,-12.92534,-61.09147
Ameerega_trivittata,-10.064194,-68.371294
Ameerega_trivittata,-9.974722,-67.809722
Ameerega_trivittata,-1.2,-48.283333
Ameerega_trivittata,-10.066667,-67.616667
Ameerega_trivittata,-4.2525,-69.938056
Ameerega_trivittata,-4.470055,-65.529938
Ameerega_trivittata,-1.95,-56.516667
Ameerega_trivittata,-3.854261,-49.820743
Ameerega_trivittata,-3.4,-51.75
Anomaloglossus_stepheni,-4.61834,-55.47779
Anomaloglossus_stepheni,-2.764849,-55.092517
Anomaloglossus_stepheni,-1.714011,-57.2133
Anomaloglossus_stepheni,-2.916667,-59.983333
Anomaloglossus_stepheni,-2.083333,-59.916667
Anomaloglossus_stepheni,-2.342048,-59.21488
Anomaloglossus_stepheni,-2.5,-60
Anomaloglossus_stepheni,-2.400381,-59.717105
Anomaloglossus_tamacuarensis,1.207597,-64.788793
Anomaloglossus_tamacuarensis,1.302,-64.82
Aparasphenodon_arapapa,-13.733333,-39.016667
Aparasphenodon_arapapa,-13.516667,-39.05
Aparasphenodon_bokermanni,-25.051867,-48.095414
Aparasphenodon_bokermanni,-26.473257,-49.001536
Aparasphenodon_bokermanni,-24.454,-47.246
Aparasphenodon_bokermanni,-24.646311,-47.811522
Aparasphenodon_brunoi,-22.933333,-44.2
Aparasphenodon_brunoi,-19.766469,-40.17586
Aparasphenodon_brunoi,-22.283333,-41.683333
Aparasphenodon_brunoi,-20.583333,-40.45
Aparasphenodon_brunoi,-18.108921,-40.007791
Aparasphenodon_brunoi,-19.380555,-40.027948
Aparasphenodon_brunoi,-22.575833,-43.028889
Aparasphenodon_brunoi,-23.066697,-43.991818
Aparasphenodon_brunoi,-23.0574174,-43.9462184
Aparasphenodon_brunoi,-22.919725,-42.81014
